number,title,issn,eissn,publisher
115,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,16729145,17457270,SCIENCE PRESS
116,ACTA BIOCHIMICA POLONICA,,1734154X,FRONTIERS MEDIA SA
117,ACTA BIOETHICA,07175906,1726569X,
118,ACTA BIOLOGICA COLOMBIANA,0120548X,19001649,"UNIV NAC COLOMBIA, FAC CIENCIAS, DEPT BIOL"
119,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,00015296,18980295,
120,ACTA BIOMATERIALIA,17427061,18787568,ELSEVIER SCI LTD
121,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,03252957,18516114,
122,ACTA BIOTHEORETICA,00015342,15728358,SPRINGER
123,ACTA BOREALIA,08003831,1503111X,
124,ACTA BOTANICA BRASILICA,01023306,1677941X,SOC BOTANICA BRASIL
125,ACTA BOTANICA CROATICA,03650588,18478476,
126,ACTA BOTANICA MEXICANA,,24487589,INST ECOLOGIA AC
127,ACTA CARDIOLOGICA SINICA,10116842,10116842,TAIWAN SOC CARDIOLOGY
128,ACTA CARDIOLOGICA,00015385,1784973X,TAYLOR & FRANCIS LTD
129,ACTA CARSOLOGICA,05836050,15802612,KARST RESEARCH INST ZRC SAZU
130,ACTA CHIMICA SINICA,05677351,,SCIENCE PRESS
131,ACTA CHIMICA SLOVENICA,13180207,15803155,SLOVENSKO KEMIJSKO DRUSTVO
132,ACTA CHIROPTEROLOGICA,15081109,17335329,MUSEUM & INST ZOOLOGY PAS- POLISH ACAD SCIENCES
133,ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,00015415,00015415,GALEN SRO
134,ACTA CHIRURGICA BELGICA,00015458,25770160,TAYLOR & FRANCIS LTD
135,ACTA CHROMATOGRAPHICA,12332356,20835736,AKADEMIAI KIADO ZRT
136,ACTA CIRURGICA BRASILEIRA,01028650,16782674,ACTA CIRURGICA BRASILEIRA
137,ACTA CLASSICA,00651141,2227538X,
138,ACTA CLINICA BELGICA,17843286,22953337,TAYLOR & FRANCIS LTD
139,ACTA CLINICA CROATICA,03539466,13339451,
140,ACTA CRYSTALLOGRAPHICA A- FOUNDATION AND ADVANCES,20532733,20532733,INT UNION CRYSTALLOGRAPHY
141,ACTA CRYSTALLOGRAPHICA SECTION B- STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,,20525206,INT UNION CRYSTALLOGRAPHY
142,ACTA CRYSTALLOGRAPHICA SECTION C- STRUCTURAL CHEMISTRY,20532296,20532296,INT UNION CRYSTALLOGRAPHY
143,ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,20597983,20597983,INT UNION CRYSTALLOGRAPHY
144,ACTA CRYSTALLOGRAPHICA SECTION F- STRUCTURAL BIOLOGY COMMUNICATIONS,,2053230X,INT UNION CRYSTALLOGRAPHY
145,ACTA CYTOLOGICA,00015547,19382650,KARGER
146,ACTA DERMATO-VENEREOLOGICA,00015555,16512057,ACTA DERMATO-VENEREOLOGICA
147,ACTA DERMATOVENEROLOGICA CROATICA,1330027X,18476538,
148,ACTA DIABETOLOGICA,09405429,14325233,SPRINGER-VERLAG ITALIA SRL
149,ACTA ENDOCRINOLOGICA-BUCHAREST,18410987,1843066X,EDITURA ACAD ROMANE
150,ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,03741036,18046487,NARODNI MUZEUM - PRIRODOVEDECKE MUZEUM
151,ACTA ETHOLOGICA,08739749,14379546,SPRINGER HEIDELBERG
152,ACTA GASTRO-ENTEROLOGICA BELGICA,17843227,17843227,UNIV CATHOLIQUE LOUVAIN-UCL
153,ACTA GEODAETICA ET GEOPHYSICA,22135812,22135820,SPRINGER
154,ACTA GEODYNAMICA ET GEOMATERIALIA,12149705,,ACAD SCI CZECH REPUBLIC INST ROCK STRUCTURE & MECHANICS
155,ACTA GEOGRAPHICA SLOVENICA- GEOGRAFSKI ZBORNIK,15816613,15818314,
156,ACTA GEOLOGICA POLONICA,00015709,23001887,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, UNIV WARSAW, GEOLOGY DEPT"
157,ACTA GEOLOGICA SINICA-ENGLISH EDITION,10009515,17556724,WILEY
158,ACTA GEOPHYSICA,18956572,18957455,SPRINGER INT PUBL AG
159,ACTA GEOTECHNICA SLOVENICA,18540171,18540171,UNIV MARIBOR
160,ACTA GEOTECHNICA,18611125,18611133,SPRINGER HEIDELBERG
161,ACTA HAEMATOLOGICA,00015792,14219662,KARGER
162,ACTA HERPETOLOGICA,18279635,18279643,FIRENZE UNIV PRESS
163,ACTA HISTOCHEMICA ET CYTOCHEMICA,00445991,13475800,
164,ACTA HISTOCHEMICA,00651281,16180372,ELSEVIER GMBH
165,ACTA HISTORICA TALLINNENSIA,14062925,17367476,ESTONIAN ACAD PUBLISHERS
166,ACTA HISTRIAE,13180185,25911767,HISTORICAL SOC SOUTHERN PRIMORSKA KOPER-HSSP
167,ACTA ICHTHYOLOGICA ET PISCATORIA,01371592,17341515,PENSOFT PUBLISHERS
168,ACTA INFORMATICA,00015903,14320525,SPRINGER
169,ACTA KOREANA,15207412,27335348,KEIMYUNG UNIV
170,ACTA LINGUISTICA ACADEMICA,25598201,25601016,AKADEMIAI KIADO ZRT
171,ACTA LITERARIA,07176848,07176848,
172,ACTA MATERIALIA,13596454,18732453,PERGAMON-ELSEVIER SCIENCE LTD
173,ACTA MATHEMATICA HUNGARICA,02365294,15882632,SPRINGER
174,ACTA MATHEMATICA SCIENTIA,02529602,15729087,SPRINGER
175,ACTA MATHEMATICA SINICA-ENGLISH SERIES,14398516,14397617,SPRINGER HEIDELBERG
176,ACTA MATHEMATICA,00015962,18712509,"INT PRESS BOSTON, INC"
177,ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,01689673,16183932,SPRINGER HEIDELBERG
178,ACTA MECHANICA SINICA,05677718,16143116,SPRINGER HEIDELBERG
179,ACTA MECHANICA SOLIDA SINICA,08949166,18602134,SPRINGER
180,ACTA MECHANICA,00015970,16196937,SPRINGER WIEN
181,ACTA MEDICA OKAYAMA,0386300X,0386300X,OKAYAMA UNIV MED SCHOOL
182,ACTA MEDICA PORTUGUESA,0870399X,16460758,ORDEM MEDICOS
183,ACTA METALLURGICA SINICA,04121961,,SCIENCE PRESS
184,ACTA METALLURGICA SINICA-ENGLISH LETTERS,10067191,21941289,"CHINESE ACAD SCIENCES, INST METAL RESEARCH"
185,ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,12178950,15882640,AKADEMIAI KIADO ZRT
186,ACTA MONTANISTICA SLOVACA,13351788,13351788,BERG FAC TECHNICAL UNIV KOSICE
187,ACTA MUSICOLOGICA,00016241,,INT MUSICOLOGICAL SOC
188,ACTA NATURAE,20758251,20758251,RUSSIAN FEDERATION AGENCY SCIENCE & INNOVATION
189,ACTA NEUROBIOLOGIAE EXPERIMENTALIS,00651400,16890035,
190,ACTA NEUROCHIRURGICA,00016268,09420940,SPRINGER WIEN
191,ACTA NEUROLOGICA BELGICA,03009009,22402993,SPRINGER HEIDELBERG
192,ACTA NEUROLOGICA SCANDINAVICA,00016314,16000404,WILEY
193,ACTA NEUROPATHOLOGICA COMMUNICATIONS,20515960,20515960,BMC
194,ACTA NEUROPATHOLOGICA,00016322,14320533,SPRINGER
195,ACTA NEUROPSYCHIATRICA,09242708,16015215,CAMBRIDGE UNIV PRESS
196,ACTA NUMERICA,09624929,14740508,CAMBRIDGE UNIV PRESS
197,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,00016349,16000412,WILEY
198,ACTA OCEANOLOGICA SINICA,0253505X,18691099,SPRINGER
199,ACTA ODONTOLOGICA SCANDINAVICA,00016357,15023850,MEDICAL JOURNAL SWEDEN AB
200,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146609X,18736238,ELSEVIER
201,ACTA OECONOMICA,00016373,15882659,AKADEMIAI KIADO ZRT
202,ACTA OF BIOENGINEERING AND BIOMECHANICS,1509409X,24506303,SCIENDO
203,ACTA ONCOLOGICA,0284186X,1651226X,MEDICAL JOURNAL SWEDEN AB
204,ACTA OPHTHALMOLOGICA,1755375X,17553768,WILEY
205,ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE,15882667,00016446,AKADEMIAI KIADO ZRT
206,ACTA ORNITHOLOGICA,00016454,17348471,MUSEUM & INST ZOOLOGY
207,ACTA ORTHOPAEDICA BELGICA,00016462,00016462,ACTA MEDICA BELGICA
208,ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,1017995X,25891294,TURKISH ASSOC ORTHOPAEDICS TRAUMATOLOGY
209,ACTA ORTHOPAEDICA,17453674,17453682,MEDICAL JOURNAL SWEDEN AB
210,ACTA ORTOPEDICA BRASILEIRA,14137852,18094406,ATHA COMUNICACAO & EDITORA
211,ACTA OTO-LARYNGOLOGICA,00016489,16512251,TAYLOR & FRANCIS LTD
212,ACTA OTORHINOLARYNGOLOGICA ITALICA,0392100X,1827675X,PACINI EDITORE
213,ACTA PAEDIATRICA,08035253,16512227,WILEY
214,ACTA PALAEONTOLOGICA POLONICA,05677920,17322421,INST PALEOBIOLOGII PAN
215,ACTA PARASITOLOGICA,12302821,18961851,SPRINGER INT PUBL AG
216,ACTA PAULISTA DE ENFERMAGEM,01032100,19820194,"UNIV FED SAO PAULO, DEPT ENFERMAGEN"
217,ACTA PETROLOGICA SINICA,10000569,20958927,SCIENCE PRESS
218,ACTA PHARMACEUTICA SINICA B,22113835,22113843,"INST MATERIA MEDICA, CHINESE ACAD MEDICAL SCIENCES"
219,ACTA PHARMACEUTICA,13300075,18469558,SCIENDO
220,ACTA PHARMACOLOGICA SINICA,16714083,17457254,NATURE PUBL GROUP
221,ACTA PHILOSOPHICA,11212179,18256562,FABRIZIO SERRA EDITORE
222,ACTA PHYSICA POLONICA A,05874246,1898794X,POLISH ACAD SCIENCES INST PHYSICS
223,ACTA PHYSICA POLONICA B,05874254,15095770,JAGIELLONIAN UNIV PRESS
224,ACTA PHYSICA SINICA,10003290,10003290,CHINESE PHYSICAL SOC
225,ACTA PHYSICO-CHIMICA SINICA,10006818,,PEKING UNIV PRESS
226,ACTA PHYSIOLOGIAE PLANTARUM,01375881,18611664,SPRINGER HEIDELBERG
227,ACTA PHYSIOLOGICA,17481708,17481716,WILEY
228,ACTA PHYTOTAXONOMICA ET GEOBOTANICA,13467565,21897042,"JAPANESE SOC PLANT SYSTEMATICS, UNIV TOKYO, GRADUATE SCH"
229,ACTA POLITICA,00016810,17411416,PALGRAVE MACMILLAN LTD
230,ACTA POLONIAE HISTORICA,00016829,00016829,INST HISTORY- PAN
231,ACTA POLONIAE PHARMACEUTICA,00016837,23535288,
232,ACTA POLYMERICA SINICA,,10003304,SCIENCE PRESS
233,ACTA POLYTECHNICA HUNGARICA,17858860,17858860,BUDAPEST TECH
234,ACTA PROTOZOOLOGICA,00651583,16890027,"JAGIELLONIAN UNIV, INST ENVIRONMENTAL SCIENCES"
235,ACTA PSYCHIATRICA SCANDINAVICA,0001690X,16000447,WILEY
236,ACTA PSYCHOLOGICA,00016918,18736297,ELSEVIER
237,ACTA RADIOLOGICA,02841851,16000455,SAGE PUBLICATIONS LTD
238,ACTA SCIENTIAE VETERINARIAE,16780345,16799216,UNIV FED RIO GRANDE DO SUL
239,ACTA SCIENTIARUM POLONORUM- HORTORUM CULTUS,16440692,25451405,UNIV LIFE SCIENCES LUBLIN
240,ACTA SCIENTIARUM-AGRONOMY,16799275,18078621,"UNIV ESTADUAL MARINGA, PRO- REITORIA PESQUISA POS- GRADUACAO"
241,ACTA SCIENTIARUM-TECHNOLOGY,18062563,18078664,
242,ACTA SOCIETATIS BOTANICORUM POLONIAE,00016977,20839480,POLSKIE TOWARZYSTWO BOTANICZNE
243,ACTA SOCIOLOGICA,00016993,15023869,SAGE PUBLICATIONS LTD
244,ACTA THEOLOGICA,10158758,23099089,"UNIV FREE STATE, FAC THEOLOGY"
245,ACTA TROPICA,0001706X,18736254,ELSEVIER
246,ACTA VETERINARIA BRNO,00017213,18017576,VETERINARNI A FARMACEUTICKA UNIVERZITA BRNO
247,ACTA VETERINARIA HUNGARICA,02366290,15882705,AKADEMIAI KIADO ZRT
248,ACTA VETERINARIA SCANDINAVICA,0044605X,17510147,BMC
249,ACTA VETERINARIA-BEOGRAD,05678315,18207448,SCIENDO
250,ACTA VIROLOGICA,0001723X,13362305,FRONTIERS MEDIA SA
251,ACTA ZOOLOGICA BULGARICA,03240770,,"INST ZOOLOGY, BAS"
252,ACTA ZOOLOGICA,00017272,14636395,WILEY
253,ACTAS ESPANOLAS DE PSIQUIATRIA,11399287,15782735,
254,ACTAS UROLOGICAS ESPANOLAS,02104806,16997980,ELSEVIER ESPANA
255,ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,03355322,19552564,EDITIONS SEUIL
256,ACTION RESEARCH,14767503,17412617,SAGE PUBLICATIONS LTD
257,ACTIVE LEARNING IN HIGHER EDUCATION,14697874,17412625,SAGE PUBLICATIONS INC
258,ACTUATORS,,20760825,MDPI
259,ACUPUNCTURE & ELECTRO- THERAPEUTICS RESEARCH,03601293,21679010,SAGE PUBLICATIONS INC
260,ACUPUNCTURE IN MEDICINE,09645284,17599873,SAGE PUBLICATIONS LTD
261,AD HOC & SENSOR WIRELESS NETWORKS,15519899,15520633,OLD CITY PUBLISHING INC
262,AD HOC NETWORKS,15708705,15708713,ELSEVIER
263,ADALYA,13012746,,
264,ADANSONIA,12808571,16394798,"PUBLICATIONS SCIENTIFIQUES DU MUSEUM, PARIS"
265,ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES,17550637,17550645,OXFORD UNIV PRESS
266,ADAPTED PHYSICAL ACTIVITY QUARTERLY,07365829,15432777,HUMAN KINETICS PUBL INC
267,ADAPTIVE BEHAVIOR,10597123,17412633,SAGE PUBLICATIONS LTD
268,ADDICTION BIOLOGY,13556215,13691600,WILEY
269,ADDICTION RESEARCH & THEORY,16066359,14767392,TAYLOR & FRANCIS LTD
270,ADDICTION SCIENCE & CLINICAL PRACTICE,19400640,19400640,BMC
271,ADDICTION,09652140,13600443,WILEY
272,ADDICTIVE BEHAVIORS,03064603,18736327,PERGAMON-ELSEVIER SCIENCE LTD
273,ADDITIVE MANUFACTURING,22148604,22147810,ELSEVIER
274,ADICCIONES,02144840,26046334,SOCIDROGALCOHOL
275,ADIPOCYTE,21623945,2162397X,TAYLOR & FRANCIS INC
276,ADMINISTRATION & SOCIETY,00953997,15523039,SAGE PUBLICATIONS INC
277,ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH,0894587X,15733289,SPRINGER
278,ADMINISTRATIVE SCIENCE QUARTERLY,00018392,19303815,SAGE PUBLICATIONS INC
279,ADOLESCENT RESEARCH REVIEW,23638346,23638354,SPRINGER INT PUBL AG
280,ADSORPTION SCIENCE & TECHNOLOGY,02636174,20484038,SAGE PUBLICATIONS INC
281,ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,09295607,15728757,SPRINGER
282,ADULT EDUCATION QUARTERLY,07417136,15523047,SAGE PUBLICATIONS INC
283,ADVANCED BIOLOGY,27010198,27010198,WILEY-V C H VERLAG GMBH
284,ADVANCED COMPOSITE MATERIALS,09243046,15685519,TAYLOR & FRANCIS LTD
285,ADVANCED COMPOSITES AND HYBRID MATERIALS,25220128,25220136,SPRINGERNATURE
286,ADVANCED DRUG DELIVERY REVIEWS,0169409X,18728294,ELSEVIER
287,ADVANCED ELECTRONIC MATERIALS,2199160X,2199160X,WILEY
288,ADVANCED ENERGY MATERIALS,16146832,16146840,WILEY-V C H VERLAG GMBH
289,ADVANCED ENGINEERING INFORMATICS,14740346,18735320,ELSEVIER SCI LTD
290,ADVANCED ENGINEERING MATERIALS,14381656,15272648,WILEY-V C H VERLAG GMBH
291,ADVANCED FIBER MATERIALS,25247921,2524793X,SPRINGERNATURE
292,ADVANCED FUNCTIONAL MATERIALS,1616301X,16163028,WILEY-V C H VERLAG GMBH
293,ADVANCED HEALTHCARE MATERIALS,21922640,21922659,WILEY
294,ADVANCED INTELLIGENT SYSTEMS,,26404567,WILEY
295,ADVANCED MATERIALS & PROCESSES,08827958,21619425,ASM INT
296,ADVANCED MATERIALS INTERFACES,21967350,21967350,WILEY
